Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
"Mokotów, Augustówka, Spiralna",dom na sprzedaż 146m2,1 693 454 zł,"146 
m
2","0,0210 
ha",4,"11 599 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-spiralna-146m2/155490166
"Mokotów, Augustówka, Spiralna",dom na sprzedaż 146m2,1 897 854 zł,"146 
m
2","0,0390 
ha",4,"12 999 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-spiralna-146m2/155490144
"Mokotów, Augustówka, Spiralna",dom na sprzedaż 121m2,1 512 100 zł,"121 
m
2","0,0180 
ha",4,"12 497 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-spiralna-121m2/155490142
"Mokotów, Augustówka, Spiralna",dom na sprzedaż 121m2,1 572 879 zł,"121 
m
2","0,0320 
ha",4,"12 999 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-spiralna-121m2/155490121
"Wilanów, Zawady, Syta",dom na sprzedaż 268m2,2 549 000 zł,"268 
m
2","0,0250 
ha",6,"9 511 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-syta-268m2/155490117
"Białołęka, Truskawkowa",dom na sprzedaż 297m2,2 500 000 zł,"296,80 
m
2","0,0650 
ha",7,"8 423 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-truskawkowa-297m2/155489862
"Wilanów, Zawady, Syta",dom na sprzedaż 265m2,2 599 999 zł,"265 
m
2","0,0425 
ha",6,"9 811 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-syta-265m2/155489637
"Mokotów, Augustówka",dom na sprzedaż 204m2,3 900 000 zł,"204 
m
2","0,0525 
ha",6,"19 118 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-204m2/155489633
"Wawer Radość, Koszęcińska",dom na sprzedaż 160m2,1 670 000 zł,"160 
m
2","0,0700 
ha",4,"10 438 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-radosc-koszecinska-160m2/155487595
dom Warszawa,dom na sprzedaż 406m2,4 220 000 zł,"406 
m
2","0,1813 
ha",1,"10 394 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-406m2/155485139
dom Warszawa,dom na sprzedaż 190m2,1 685 000 zł,"190 
m
2","0,0700 
ha",4,"8 868 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-190m2/155485135
"Śródmieście, Belwederska",dom na sprzedaż 686m2,12 990 000 zł,"686 
m
2","0,1370 
ha",20,"18 936 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-srodmiescie-belwederska-686m2/155484923
"Wawer, Anin, Rzeźbiarska",dom na sprzedaż 120m2,2 400 000 zł,"120 
m
2","0,0960 
ha",4,"20 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-rzezbiarska-120m2/155484832
Wilanów Powsinek,dom na sprzedaż 135m2,2 745 000 zł,"135 
m
2","0,0100 
ha",5,"20 333 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-powsinek-135m2/155483641
Włochy,dom na sprzedaż 1760m2,24 750 000 zł,"1760 
m
2","0,0000 
ha",0,"14 063 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-1760m2/155483174
Wilanów,dom na sprzedaż 190m2,3 600 000 zł,"190 
m
2","0,0440 
ha",6,"18 947 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-190m2/155479541
Ursynów,dom na sprzedaż 230m2,2 550 000 zł,"230 
m
2","0,0218 
ha",8,"11 087 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-230m2/155479540
Mokotów,dom na sprzedaż 250m2,2 480 000 zł,"250 
m
2","0,0255 
ha",5,"9 920 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-250m2/155479525
Ursus,dom na sprzedaż 1050m2,2 900 000 zł,"1050 
m
2","0,0780 
ha",N/A,"2 762 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursus-1050m2/155476304
Wilanów,dom na sprzedaż 270m2,3 100 000 zł,"270 
m
2","0,0414 
ha",7,"11 481 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-270m2/155476261
